mes;afiliaciones
Enero 2001;15194299,22
Febrero  2001;15326583,35
Marzo 2001;15455386,40
Abril 2001;15551821,04
Mayo 2001;15688072,27
Junio 2001;15802406,55
Julio 2001;15941613,60
Agosto 2001;15829410,01
Septiembre 2001;15807572,64
Octubre 2001;15845332,53
Noviembre 2001;15885774,66
Diciembre 2001;15901915,26
Enero 2002;15716520,01
Febrero  2002;15834338,25
Marzo 2002;15927218,20
Abril 2002;16025754,18
Mayo 2002;16183522,40
Junio 2002;16260265,76
Julio 2002;16419239,07
Agosto 2002;16321804,82
Septiembre 2002;16293662,04
Octubre 2002;16340244,60
Noviembre 2002;16376762,68
Diciembre 2002;16380197,69
Enero 2003;16217209,48
Febrero  2003;16365395,65
Marzo 2003;16482972,57
Abril 2003;16594317,07
Mayo 2003;16735791,04
Junio 2003;16818072,16
Julio 2003;16941956,13
Agosto 2003;16810036,20
Septiembre 2003;16785475,83
Octubre 2003;16830082,65
Noviembre 2003;16850235,60
Diciembre 2003;16826224,21
Enero 2004;16640851,45
Febrero  2004;16808648,85
Marzo 2004;16930836,65
Abril 2004;17023372,15
Mayo 2004;17174293,95
Junio 2004;17276512,78
Julio 2004;17414516,31
Agosto 2004;17260174,65
Septiembre 2004;17247118,72
Octubre 2004;17314217,05
Noviembre 2004;17349474,24
Diciembre 2004;17340361,05
Enero 2005;17180940,45
Febrero  2005;17320383,80
Marzo 2005;17430544,38
Abril 2005;17575463,01
Mayo 2005;17789655,54
Junio 2005;18019758,11
Julio 2005;18260394,07
Agosto 2005;18168312,59
Septiembre 2005;18196939,54
Octubre 2005;18294813,40
Noviembre 2005;18330429,81
Diciembre 2005;18316322,95
Enero 2006;18154960,29
Febrero  2006;18286896,75
Marzo 2006;18415427,05
Abril 2006;18540308,85
Mayo 2006;18696526,29
Junio 2006;18807670,37
Julio 2006;18944956,34
Agosto 2006;18760546,60
Septiembre 2006;18777097,11
Octubre 2006;18866359,01
Noviembre 2006;18922822,34
Diciembre 2006;18925995,79
Enero 2007;18778596,86
Febrero  2007;18915997,35
Marzo 2007;19058951,27
Abril 2007;19151216,01
Mayo 2007;19303188,69
Junio 2007;19377776,30
Julio 2007;19493050,20
Agosto 2007;19286185,19
Septiembre 2007;19290985,35
Octubre 2007;19371683,50
Noviembre 2007;19393158,91
Diciembre 2007;19372777,08
Enero 2008;19161851,01
Febrero  2008;19245226,76
Marzo 2008;19314410,13
Abril 2008;19356269,42
Mayo 2008;19409641,57
Junio 2008;19358953,44
Julio 2008;19382222,56
Agosto 2008;19137556,15
Septiembre 2008;19020359,47
Octubre 2008;18918473,21
Noviembre 2008;18721386,65
Diciembre 2008;18531311,74
Enero 2009;18181742,70
Febrero  2009;18112610,60
Marzo 2009;18058121,78
Abril 2009;18034183,25
Mayo 2009;18103487,35
Junio 2009;18097986,02
Julio 2009;18143554,01
Agosto 2009;18001310,04
Septiembre 2009;17935094,55
Octubre 2009;17908945,33
Noviembre 2009;17847669,06
Diciembre 2009;17803838,94
Enero 2010;17546011,05
Febrero  2010;17572351,15
Marzo 2010;17594808,39
Abril 2010;17648660,10
Mayo 2010;17761897,38
Junio 2010;17785781,72
Julio 2010;17848322,63
Agosto 2010;17716464,27
Septiembre 2010;17671479,63
Octubre 2010;17666149,05
Noviembre 2010;17612709,38
Diciembre 2010;17584981,63
Enero 2011;17361838,50
Febrero  2011;17347094,30
Marzo 2011;17392754,17
Abril 2011;17474200,74
Mayo 2011;17592190,64
Junio 2011;17586578,65
Julio 2011;17637351,63
Agosto 2011;17500517,37
Septiembre 2011;17435561,63
Octubre 2011;17360312,55
Noviembre 2011;17248530,06
Diciembre 2011;17229921,50
Enero 2012;16958267,14
Febrero  2012;16897111,57
Marzo 2012;16902530,45
Abril 2012;16919079,21
Mayo 2012;16996510,36
Junio 2012;17027842,57
Julio 2012;17032738,45
Agosto 2012;16895976,90
Septiembre 2012;16809803,15
Octubre 2012;16736726,63
Noviembre 2012;16531048,14
Diciembre 2012;16442681,23
Enero 2013;16179438,04
Febrero 2013;16150746,60
Marzo 2013;16181274,84
Abril 2013;16232352,31
Mayo 2013;16367012,59
Junio 2013;16393865,50
Julio 2013;16426755,78
Agosto 2013;16327687,19
Septiembre 2013;16305445,38
Octubre 2013;16360372,52
Noviembre 2013;16293543,20
Diciembre 2013;16357640,05
Enero 2014;16173609,52
Febrero 2014;16212303,80
Marzo 2014;16296288,23
Abril 2014;16430052,95
Mayo 2014;16628373,23
Junio 2014;16684995,09
Julio 2014;16747102,65
Agosto 2014;16649520,50
Septiembre 2014;16661702,95
Octubre 2014;16690519,73
Noviembre 2014;16695751,70
Diciembre 2014;16775214,47
Enero 2015;16575312,25
Febrero 2015;16672221,60
Marzo 2015;16832800,54
Abril 2015;17008295,90
Mayo 2015;17221310,40
Junio 2015;17256395,45
Julio 2015;17315187,56
Agosto 2015;17180898,90
Septiembre 2015;17189814,91
Octubre 2015;17221466,52
Noviembre 2015;17223086,48
Diciembre 2015;17308400,00
Enero 2016;17104357,26
Febrero 2016;17167712,09
Marzo 2016;17305798,04
Abril 2016;17463835,66
Mayo 2016;17661839,59
Junio 2016;17760271,13
Julio 2016;17844991,95
Agosto 2016;17699995,31
Septiembre 2016;17712020,72
Octubre 2016;17813355,90
Noviembre 2016;17780523,90
Diciembre 2016;17849054,50
Enero 2017;17674174,52
Febrero 2017;17748254,85
Marzo 2017;17910006,65
Abril 2017;18122222,33
Mayo 2017;18345414,23
Junio 2017;18433106,55
Julio 2017;18489329,00
Agosto 2017;18309843,86
Septiembre 2017;18336161,48
Octubre 2017;18430529,05
Noviembre 2017;18417756,24
Diciembre 2017;18460200,56
Enero 2018;18282030,82
Febrero 2018;18363514,20
Marzo 2018;18502087,60
Abril 2018;18678460,85
Mayo 2018;18915667,81
Junio 2018;19006990,19
Julio 2018;19042809,68
Agosto 2018;18839813,81
Septiembre 2018;18862712,80
Octubre 2018;18993072,81
Noviembre 2018;18945624,19
Diciembre 2018;19024165,17
Enero 2019;18819300,09
Febrero 2019;18888471,90
Marzo 2019;19043576,33
Abril 2019;19230361,75
Mayo 2019;19442113,45
Junio 2019;19517697,20
Julio 2019;19533210,73
Agosto 2019;19320227,09
Septiembre 2019;19323451,47
Octubre 2019;19429992,65
Noviembre 2019;19376878,45
Diciembre 2019;19408537,83
Enero 2020;19164493,66
Febrero 2020;19250228,95
Marzo 2020;19006759,59
Abril 2020;18458666,80
Mayo 2020;18556128,85
Junio 2020;18624336,68
Julio 2020;18785554,30
Agosto 2020;18792376,14
Septiembre 2020;18876389,22
Octubre 2020;18990363,95
Noviembre 2020;19022001,57
Diciembre 2020;19048433,31
Enero 2021;18829480,15
Febrero 2021;18850111,65
Marzo 2021;18920901,86
Abril 2021;19055298,05
Mayo 2021;19267221,00
Junio 2021;19500277,40
Julio 2021;19591727,95
Agosto 2021;19473724,09
Septiembre 2021;19531111,36
Octubre 2021;19690589,65
Noviembre 2021;19752357,80
Diciembre 2021;19824911,21
Enero 2022;19627161,25
Febrero 2022;19694272,05
Marzo 2022;19834503,69
Abril 2022;20019080,31
Mayo 2022;20232723,13
Junio 2022;20348329,95
Julio 2022;20340964,24
Agosto 2022;20151001,14
Septiembre 2022;20180287,41
Octubre 2022;20283786,40
Noviembre 2022;20283630,90
Diciembre 2022;20296270,90
